Country,State/Province/Territory,node
Spain,Valencia,ESPXX
Spain,,ESPXX
Sweden,Stockholm,SWEXX
Sweden,Västra götaland,SWEXX
Switzerland,8783 Glarus Süd,CHEXX
Switzerland,Basel,CHEXX
Switzerland,Bern,CHEXX
Switzerland,Einsiedeln,CHEXX
Switzerland,Glarus,CHEXX
Switzerland,Graubünden,CHEXX
Switzerland,Grisons,CHEXX
Switzerland,Luzern,CHEXX
Switzerland,Montreux,CHEXX
Switzerland,Saint Gallen,CHEXX
Switzerland,Ticino,CHEXX
Switzerland,Valais,CHEXX
Switzerland,Vaud,CHEXX
Switzerland,Zurich,CHEXX
Taiwan,Nantou,TWNXX
Taiwan,Taiwan,TWNXX
Tanzania,null,TZAXX
Tanzania,,TZAXX
Thailand,Kanchanaburi,THAXX
Thailand,Nakhon Ratchasima,THAXX
Thailand,Nakhon Ratchasima Province,THAXX
Thailand,Tak,THAXX
Togo,Maritime Region,TGOXX
Ukraine,Chernivtsi Oblast,UKRXX
Ukraine,Kiev,UKRXX
Ukraine,Mykolayiv,UKRXX
Ukraine,Zaporizhzhia Oblast,UKRXX
United Arab Emirates,Abu Dhabi,AREXX
United Kingdom,-,GBRXX
United Kingdom,Aberdeenshire,GBRXX
United Kingdom,Bedfordshire,GBRXX
United Kingdom,Berkshire,GBRXX
United Kingdom,Buckinghamshire,GBRXX
United Kingdom,County Antrim,GBRXX
United Kingdom,Dalmally,GBRXX
United Kingdom,"Devon, South West England, England",GBRXX
United Kingdom,England,GBRXX
United Kingdom,Gwynedd,GBRXX
United Kingdom,Highland,GBRXX
United Kingdom,"Highland, Scotland",GBRXX
United Kingdom,Lancashire,GBRXX
United Kingdom,Norfolk,GBRXX
United Kingdom,North East,GBRXX
United Kingdom,Northern Ireland,GBRXX
United Kingdom,Northumberland,GBRXX
United Kingdom,Nottinghamshire,GBRXX
United Kingdom,null,GBRXX
United Kingdom,Orkney,GBRXX
United Kingdom,Oxfordshire,GBRXX
United Kingdom,Scotland,GBRXX
United Kingdom,Shetland,GBRXX
United Kingdom,Somerset,GBRXX
United Kingdom,South Wales,GBRXX
United Kingdom,South Yorkshire,GBRXX
United Kingdom,Wales,GBRXX
United Kingdom,West Midlands,GBRXX
United Kingdom,,GBRXX
United States,Alabama,USASE
United States,Alaska,USAAK
United States,Arizona,USAAZ
United States,Arkansas,USASA
United States,California,USACA
United States,Colorado,USARA
United States,Connecticut,USANE
United States,Delaware,USARE
United States,District of Columbia,USARE
United States,Florida,USAFR
United States,Georgia,USASE
United States,Hawaii,USAHA
United States,Idaho,USANW
United States,Illinois,USARW
United States,Indiana,USARW
United States,Iowa,USAMW
United States,Kansas,USASN
United States,Kentucky,USASC
United States,Louisiana,USASA
United States,Maine,USANE
United States,Maryland,USARE
United States,Massachusetts,USANE
United States,Michigan,USARM
United States,Minnesota,USANW
United States,Mississippi,USASE
United States,Missouri,USASW
United States,Montana,USANW
United States,Nebraska,USAMW
United States,Nevada,USANW
United States,New Hampshire,USANE
United States,New Jersey,USARE
United States,New Mexico,USAAZ
United States,New York,USANY
United States,North Carolina,USASV
United States,Ohio,USARW
United States,Okinawa,JPNOK
United States,Oklahoma,USASS
United States,Oregon,USANW
United States,Pennsylvania,USARE
United States,Puerto Rico,USAPR
United States,Rhode Island,USANE
United States,South Carolina,USASV
United States,Tennessee,USASC
United States,Texas,USAER
United States,Utah,USANW
United States,Vermont,USANE
United States,Virginia,USASV
United States,Washington,USANW
United States,West Virginia,USARW
United States,Wisconsin,USAME
United-Kingdom,,GBRXX
USA,Alaska,USAAK
USA,Arizona,USAAZ
USA,Colorado,USARA
USA,Iowa,USAMW
USA,Kailua,USAHA
USA,New Mexico,USAAZ
USA,New York,USANY
USA,North Carolina,USASV
USA,Puerto Rico,USAPR
USA,Rhode Island,USANE
USA,South Dakota,USAMW
USA,Tennessee,USASC
USA,Vermont,USANE
Vanuatu,Tafea,
