TECHNOLOGY,MAX_BUILD,START_YEAR,END_YEAR
TRNISRXXSYRXX,0,2021,2024
TRNITAXXMLTXX,0,2021,2024
TRNITAXXMNEXX,0,2021,2024
TRNITAXXSVNXX,0,2021,2024
TRNITAXXTUNXX,0,2021,2024
TRNJORXXSAUXX,0,2021,2024
TRNJORXXSYRXX,0,2021,2024
TRNJPNCEJPNKY,0,2021,2024
TRNJPNCEJPNSH,0,2021,2024
TRNJPNCEJPNTO,0,2021,2024
TRNJPNCEKORXX,0,2021,2024
TRNJPNHOJPNTO,0,2021,2024
TRNJPNHORUSFE,0,2021,2024
TRNJPNKYKORXX,0,2021,2024
TRNKAZXXKGZXX,0,2021,2024
TRNKAZXXRUSCE,0,2021,2024
TRNKAZXXRUSMV,0,2021,2024
TRNKAZXXRUSSI,0,2021,2024
TRNKAZXXRUSSO,0,2021,2024
TRNKAZXXRUSUR,0,2021,2024
TRNKAZXXTKMXX,0,2021,2024
TRNKAZXXUZBXX,0,2021,2024
TRNKENXXSOMXX,0,2021,2024
TRNKENXXSSDXX,0,2021,2024
TRNKENXXTZAXX,0,2021,2024
TRNKENXXUGAXX,0,2021,2024
TRNKGZXXTJKXX,0,2021,2024
TRNKGZXXUZBXX,0,2021,2024
TRNKHMXXLAOXX,0,2021,2024
TRNKHMXXTHAXX,0,2021,2024
TRNKHMXXVNMXX,0,2021,2024
TRNKORXXPRKXX,0,2021,2024
TRNKOSXXMKDXX,0,2021,2024
TRNKOSXXMNEXX,0,2021,2024
TRNKOSXXSRBXX,0,2021,2024
TRNKWTXXSAUXX,0,2021,2024
TRNLAOXXMMRXX,0,2021,2024
TRNLAOXXTHAXX,0,2021,2024
TRNLAOXXVNMXX,0,2021,2024
TRNLBNXXSYRXX,0,2021,2024
TRNLBRXXSLEXX,0,2021,2024
TRNLBYXXMLTXX,0,2021,2024
TRNLBYXXNERXX,0,2021,2024
TRNLBYXXSDNXX,0,2021,2024
TRNLBYXXTCDXX,0,2021,2024
TRNLBYXXTUNXX,0,2021,2024
TRNLSOXXZAFXX,0,2021,2024
TRNLTUXXLVAXX,0,2021,2024
TRNLTUXXPOLXX,0,2021,2024
TRNLTUXXRUSNW,0,2021,2024
TRNLTUXXSWEXX,0,2021,2024
TRNLVAXXRUSNW,0,2021,2024
TRNLVAXXSWEXX,0,2021,2024
TRNMARXXPRTXX,0,2021,2024
TRNMDAXXROUXX,0,2021,2024
TRNMDAXXUKRXX,0,2021,2024
TRNMEXXXUSAAZ,0,2021,2024
TRNMEXXXUSACA,0,2021,2024
TRNMEXXXUSAER,0,2021,2024
TRNMKDXXSRBXX,0,2021,2024
