FUEL_TYPE,CUSTOM_NODE,CAPACITY,,,
SPV,DOMXX,1000,,,
SPV,DZAXX,1000,,,
SPV,ECUXX,88.29,,,
SPV,EGYXX,1389.01,,,
SPV,ESHXX,458.5,,,
SPV,ESPXX,383.23,,,
SPV,ESTXX,18.04,,,
SPV,ETHXX,1194.89,,,
SPV,FINXX,100,,,
SPV,FJIXX,1000,,,
SPV,FRAXX,100,,,
SPV,GABXX,25.26,,,
SPV,GBRXX,100,,,
SPV,GEOXX,50.49,,,
SPV,GHAXX,167.38,,,
SPV,GINXX,80.6,,,
SPV,GNBXX,7.81,,,
SPV,GNQXX,0.68,,,
SPV,GRCXX,74.84,,,
SPV,GTMXX,50.39,,,
SPV,GUFXX,1.2,,,
SPV,HNDXX,43.98,,,
SPV,HRVXX,26.82,,,
SPV,HUNXX,96.74,,,
SPV,IDNJW,114.34,,,
SPV,IDNKA,48.72,,,
SPV,IDNML,3.51,,,
SPV,IDNNU,27.6,,,
SPV,IDNPP,19.17,,,
SPV,IDNSL,28.76,,,
SPV,IDNSM,83.97,,,
SPV,INDEA,496.03,,,
SPV,INDNE,100,,,
SPV,INDNO,1316.4,,,
SPV,INDSO,789.14,,,
SPV,INDWE,1272.78,,,
SPV,IRLXX,88.43,,,
SPV,IRNXX,2490.54,,,
SPV,IRQXX,702.37,,,
SPV,ISLXX,129.84,,,
SPV,ISRXX,28.23,,,
SPV,ITAXX,231.04,,,
SPV,JAMXX,2.58,,,
SPV,JORXX,141.37,,,
SPV,JPNXX,105.05,,,
SPV,KAZXX,4071.06,,,
SPV,KENXX,733.06,,,
SPV,KGZXX,286.12,,,
SPV,KHMXX,128.55,,,
SPV,KORXX,42.18,,,
SPV,KWTXX,22.83,,,
SPV,LAOXX,42.02,,,
SPV,LBNXX,12.83,,,
SPV,LBRXX,2.35,,,
SPV,LBYXX,2753.01,,,
SPV,LKAXX,19.87,,,
SPV,LSOXX,40.89,,,
SPV,LTUXX,55.67,,,
SPV,LUXXX,1.08,,,
SPV,LVAXX,29.13,,,
SPV,MARXX,464.14,,,
SPV,MDAXX,47.55,,,
SPV,MDGXX,621.9,,,
SPV,MEXXX,1769.52,,,
SPV,MKDXX,16.49,,,
SPV,MLIXX,1868.25,,,
SPV,MLTXX,0.35,,,
SPV,MMRXX,306.49,,,
SPV,MNEXX,7.24,,,
SPV,MNGXX,2026.53,,,
SPV,MOZXX,219.51,,,
SPV,MRTXX,1767.07,,,
SPV,MUSXX,1.97,,,
SPV,MWIXX,85.45,,,
SPV,MYSPE,22.4,,,
SPV,MYSSH,2.42,,,
SPV,MYSSK,5.55,,,
SPV,NAMXX,816.07,,,
SPV,NERXX,1678.59,,,
SPV,NGAXX,932.56,,,
SPV,NICXX,68.72,,,
SPV,NLDXX,40.59,,,
SPV,NORXX,100,,,
SPV,NPLXX,73.35,,,
SPV,NZLXX,100,,,
SPV,OMNXX,509.15,,,
SPV,PAKXX,1229.52,,,
SPV,PANXX,32.27,,,
SPV,PERXX,777.52,,,
SPV,PHLLU,61.52,,,
SPV,PHLMI,27.62,,,
SPV,PHLVI,24.72,,,
SPV,PNGXX,32.14,,,
SPV,POLXX,223.41,,,
SPV,PRKXX,71.8,,,
SPV,PRTXX,58.66,,,
SPV,PRYXX,276.49,,,
SPV,QATXX,14.73,,,
SPV,ROUXX,196.24,,,
SPV,RUSCE,471.89,,,
SPV,RUSFE,14774.4,,,
SPV,RUSMV,902.81,,,
SPV,RUSNW,361.82,,,
SPV,RUSSI,100,,,
SPV,RUSSO,813.76,,,
SPV,RUSUR,1311.25,,,
SPV,RWAXX,30.11,,,
SPV,SAUXX,2601.92,,,
SPV,SDNXX,3063.27,,,
SPV,SENXX,195.53,,,
SPV,SGPXX,0.66,,,
SPV,SLEXX,12.14,,,
SPV,SLVXX,13.81,,,
SPV,SOMXX,1031.17,,,
SPV,SRBXX,62.11,,,
SPV,SURXX,6.1,,,
SPV,SVKXX,30.55,,,
SPV,SVNXX,6.32,,,
SPV,SWEXX,112.34,,,
SPV,SWZXX,14.75,,,
SPV,SYRXX,314.89,,,
SPV,TCDXX,1741.46,,,
SPV,TGOXX,45.14,,,
SPV,THACE,92.05,,,
SPV,THANO,100,,,
SPV,THASO,12.66,,,
SPV,TJKXX,179.52,,,
SPV,TKMXX,754.83,,,
SPV,TLSXX,3.96,,,
SPV,TTOXX,1.55,,,
SPV,TUNXX,228.23,,,
SPV,TURXX,966.71,,,
SPV,TWNXX,15.64,,,
SPV,TZAXX,461.85,,,
SPV,UGAXX,209.44,,,
SPV,UKRXX,713.13,,,
