CUSTOM_NODE,FUEL_TYPE,START_YEAR,END_YEAR,CAPACITY,,,,
IDNJW,HYD,2000,2080,2841.42,,,,
IDNSL,HYD,2000,2080,1349.72,,,,
IDNKA,HYD,2000,2080,269.25,,,,
IDNPP,HYD,2000,2080,35.06,,,,
IDNKA,HYD,2027,2107,1375,,,,
IDNSM,OCG,1976,2006,151.75,,,,
IDNSM,OCG,1979,2009,136.8,,,,
IDNSM,OCG,1985,2015,24.75,,,,
IDNSM,OCG,1987,2017,49.5,,,,
IDNSM,OCG,1989,2019,83.82,,,,
IDNSM,OCG,1990,2020,17.92,,,,
IDNSM,OCG,2003,2033,42.07,,,,
IDNSM,OCG,2015,2045,438.29,,,,
IDNNU,OCG,2007,2037,3.45,,,,
IDNNU,OCG,2010,2040,406.68,,,,
IDNNU,OCG,2014,2044,146.4,,,,
IDNSM,OCG,2016,2046,142.38,,,,
IDNJW,OCG,1996,2026,310.72,,,,
IDNJW,OCG,2008,2038,28.21,,,,
IDNJW,OCG,2012,2042,29.75,,,,
IDNJW,OCG,2014,2044,369.38,,,,
IDNSM,OCG,2006,2036,52.06,,,,
IDNSM,OCG,2009,2039,1.56,,,,
IDNSM,OCG,2011,2041,228.16,,,,
IDNSM,OCG,2013,2043,261.35,,,,
IDNJW,OCG,1979,2009,22.94,,,,
IDNJW,OCG,1991,2021,107.06,,,,
IDNJW,OCG,1995,2025,152.92,,,,
IDNJW,OCG,1997,2027,696.71,,,,
IDNJW,OCG,2002,2032,47.58,,,,
IDNJW,OCG,2004,2034,1376.58,,,,
IDNJW,OCG,2005,2035,124.78,,,,
IDNJW,OCG,2006,2036,160.63,,,,
IDNJW,OCG,2007,2037,45.37,,,,
IDNJW,OCG,2010,2040,3.06,,,,
IDNJW,OCG,2011,2041,20.19,,,,
IDNJW,OCG,1992,2022,60.37,,,,
IDNJW,OCG,2013,2043,3.23,,,,
IDNJW,OCG,2017,2047,37.2,,,,
IDNJW,OCG,2018,2048,39.72,,,,
IDNJW,OCG,2019,2049,5.52,,,,
