CUSTOM_NODE,YEAR,VALUE
VNMSO,2018,345.74
VNMSO,2019,370.51
VNMSO,2020,375.58
VNMSO,2021,377.26
VNMSO,2022,406.47
VNMSO,2023,430.28
VNMSO,2024,458.21
VNMSO,2025,487.11
VNMSO,2026,526.5
VNMSO,2027,561.11
VNMSO,2028,601.16
VNMSO,2029,644.25
VNMSO,2030,697.91
VNMSO,2031,743.22
VNMSO,2032,800.38
VNMSO,2033,861.3
VNMSO,2034,926.98
VNMSO,2035,997.81
VNMSO,2036,1073.98
VNMSO,2037,1155.78
VNMSO,2038,1243.91
VNMSO,2039,1338.67
VNMSO,2040,1440.54
VNMSO,2041,1454.22
VNMSO,2042,1511.96
VNMSO,2043,1562.92
VNMSO,2044,1604.91
VNMSO,2045,1635.27
VNMSO,2046,1650.83
VNMSO,2047,1647.84
VNMSO,2048,1621.86
VNMSO,2049,1567.61
VNMSO,2050,1601.97
PHLLU,2015,189.24
PHLLU,2016,207.34
PHLLU,2017,216.52
PHLLU,2018,228.31
PHLLU,2019,241.65
PHLLU,2020,227.86
PHLLU,2021,250.32
PHLLU,2022,263.41
PHLLU,2023,283.28
PHLLU,2024,301.21
PHLLU,2025,320.64
PHLLU,2026,341.38
PHLLU,2027,363.74
PHLLU,2028,387.68
PHLLU,2029,413.61
PHLLU,2030,441.71
PHLLU,2031,471.41
PHLLU,2032,502.79
PHLLU,2033,535.8
PHLLU,2034,570.67
PHLLU,2035,607.4
PHLLU,2036,646.28
PHLLU,2037,687.29
PHLLU,2038,730.49
PHLLU,2039,778.19
PHLLU,2040,836.54
PHLLU,2041,900.37
PHLLU,2042,970.28
PHLLU,2043,1046.94
PHLLU,2044,1130.75
PHLLU,2045,1222.75
PHLLU,2046,1323.83
PHLLU,2047,1435.47
PHLLU,2048,1558.63
PHLLU,2049,1694.71
PHLLU,2050,1845.27
PHLVI,2015,36.39
PHLVI,2016,40.72
PHLVI,2017,42.23
PHLVI,2018,44.48
PHLVI,2019,46.89
PHLVI,2020,44.93
PHLVI,2021,49.33
PHLVI,2022,53.45
PHLVI,2023,55.97
PHLVI,2024,59.74
PHLVI,2025,63.82
PHLVI,2026,68.2
PHLVI,2027,72.89
PHLVI,2028,77.92
PHLVI,2029,83.33
PHLVI,2030,89.17
PHLVI,2031,95.3
PHLVI,2032,101.81
PHLVI,2033,108.71
PHLVI,2034,115.95
PHLVI,2035,123.6
PHLVI,2036,131.68
PHLVI,2037,140.19
PHLVI,2038,149.11
PHLVI,2039,159
PHLVI,2040,171.12
PHLVI,2041,184.34
PHLVI,2042,198.8
PHLVI,2043,214.61
PHLVI,2044,231.97
PHLVI,2045,251
PHLVI,2046,272.05
