NAME,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12
TUR_Hyd_BoyabatDam18157,8.3,11.0,15.3,48.2,48.2,48.2,48.2,48.0,37.4,38.3,24.9,6.3
TUR_Hyd_Capacity Scaler,31.7,15.7,28.7,30.0,37.2,39.3,34.4,39.3,39.3,39.3,26.6,33.1
TUR_Hyd_DerinerDam18165,5.3,7.2,10.8,19.6,31.4,48.2,48.2,48.2,48.2,29.9,7.9,5.3
TUR_Hyd_Devecikona18167,40.1,37.2,33.2,31.5,28.8,26.9,26.7,28.5,28.2,31.6,31.8,37.6
TUR_Hyd_DicleDam18168,30.0,30.0,30.0,6.5,3.9,3.1,3.1,3.1,3.4,3.8,5.4,30.0
TUR_Hyd_GezendeDam18180,22.4,26.5,29.6,30.8,30.0,13.7,7.2,4.7,16.6,30.8,30.8,30.8
TUR_Hyd_GkekayaDam18181,36.3,35.3,37.9,45.9,45.9,45.9,34.3,34.5,37.6,45.5,45.9,39.9
TUR_Hyd_HasanUurluD18184,40.0,40.0,40.0,21.8,11.6,9.7,9.5,9.5,10.3,17.4,34.5,40.0
TUR_Hyd_HirfanlDam18185,14.0,17.0,30.4,45.9,45.9,37.2,33.4,31.9,43.0,45.9,45.9,15.7
TUR_Hyd_IlsuDam18186,17.5,17.8,10.8,19.5,30.0,30.0,11.0,14.2,18.1,30.0,30.0,26.5
TUR_Hyd_KarakayaDam18189,13.7,9.3,8.6,9.7,27.5,44.3,44.5,44.5,44.5,44.5,34.3,21.8
TUR_Hyd_KarkamDam18190,30.0,30.0,30.0,19.2,13.2,3.8,3.1,3.1,3.2,5.6,18.3,30.0
TUR_Hyd_KebanDam18191,36.9,40.9,34.1,32.5,32.5,30.7,27.1,28.1,24.5,33.3,31.7,36.9
TUR_Hyd_KlkayaDa18195,30.0,30.0,30.0,20.5,17.8,17.2,12.4,12.4,13.7,14.3,22.6,30.0
