REGION,TECHNOLOGY,VALUE
GLOBAL,PWRCCGCHNHE01,30
GLOBAL,PWRHYDBGRXX01,100
GLOBAL,PWRCCGCHNJI01,30
GLOBAL,PWRCCGBTNXX00,30
GLOBAL,PWRSPVCHNHE01,30
GLOBAL,PWRWASUZBXX01,30
GLOBAL,PWRWONDZAXX01,30
GLOBAL,PWRGEOUSANE01,30
GLOBAL,PWRURNCHNGD01,60
GLOBAL,PWRPETLAOXX01,30
GLOBAL,PWROILLBRXX01,30
GLOBAL,PWRWOFUSAGU01,30
GLOBAL,PWRHYDMARXX01,100
GLOBAL,PWROCGTKMXX00,30
GLOBAL,PWRWONPRTXX01,30
GLOBAL,PWRGEOPANXX01,30
GLOBAL,PWROILGNQXX01,30
GLOBAL,PWRBIOCANAR01,45
GLOBAL,PWRCOAPRKXX01,30
GLOBAL,PWRGEOZMBXX01,30
GLOBAL,PWRCCGIDNXX01,30
GLOBAL,PWRCCGLVAXX00,30
GLOBAL,PWRGEOAUSVI01,30
GLOBAL,PWRCCGSVKXX01,30
GLOBAL,PWRHYDCHNXI01,100
GLOBAL,PWROCGZAFXX01,30
GLOBAL,PWRCCGCANAR00,30
GLOBAL,PWRSPVCHNYU01,30
GLOBAL,PWRWASSENXX01,30
GLOBAL,PWROTHMKDXX01,30
GLOBAL,PWRPETUSANW01,30
GLOBAL,PWRHYDPANXX01,100
GLOBAL,PWROCGTHAXX01,30
GLOBAL,PWRWOFBFAXX01,30
GLOBAL,PWRURNMEXXX01,60
GLOBAL,PWRCSPCOGXX01,30
GLOBAL,PWRCCGJPNHO01,30
GLOBAL,PWRCCGJPNTO01,30
GLOBAL,PWRWAVBDIXX01,20
GLOBAL,PWRWOFSVNXX01,30
GLOBAL,PWRWONUSAER01,30
GLOBAL,PWRBIOUSARW01,45
GLOBAL,PWRURNJPNTO01,60
GLOBAL,PWRWONERIXX01,30
GLOBAL,PWROCGBTNXX01,30
GLOBAL,PWRCOGYEMXX01,30
GLOBAL,PWRWONUSAPR01,30
GLOBAL,PWRPETBRACW01,30
GLOBAL,PWRWAVCOLXX01,20
GLOBAL,PWROTHCHNGX01,30
GLOBAL,PWROCGUSAAK01,30
GLOBAL,PWRCOASDNXX01,30
GLOBAL,PWRCCGBRAJ101,30
GLOBAL,PWRCCGSYRXX00,30
GLOBAL,PWRSPVUGAXX01,30
GLOBAL,PWRCOATZAXX01,30
GLOBAL,PWRURNGINXX01,60
GLOBAL,PWRWONPANXX01,30
GLOBAL,PWROCGGBRXX01,30
GLOBAL,PWRWONINDWE01,30
GLOBAL,PWRGEOURYXX01,30
GLOBAL,PWRPETTLSXX01,30
GLOBAL,PWRURNUSANW01,60
GLOBAL,PWRCSPUSASS01,30
GLOBAL,PWROTHCANON01,30
GLOBAL,PWRCOAMUSXX01,30
GLOBAL,PWRCOGESTXX01,30
GLOBAL,PWRCSPCHNHJ01,30
GLOBAL,PWRWOFUGAXX01,30
GLOBAL,PWRWAVCHNJI01,20
GLOBAL,PWRPETINDWE01,30
GLOBAL,PWRWASUSAER01,30
GLOBAL,PWRSPVZAFXX01,30
GLOBAL,PWRWASCHNXI01,30
GLOBAL,PWRCOARUSMV01,30
GLOBAL,PWRCCGCANQC00,30
GLOBAL,PWRGEOBLRXX01,30
GLOBAL,PWRBIOGNQXX01,45
GLOBAL,PWRSPVCANMB01,30
GLOBAL,PWRCCGPOLXX01,30
GLOBAL,PWRCOGRUSFE01,30
GLOBAL,PWRCCGSURXX00,30
GLOBAL,PWRSPVBOLXX01,30
GLOBAL,PWROCGDEUXX01,30
GLOBAL,PWRCSPCHNSX01,30
GLOBAL,PWRWASSRBXX01,30
GLOBAL,PWROCGGEOXX01,30
GLOBAL,PWRURNARGXX01,60
GLOBAL,PWRHYDAFGXX01,100
GLOBAL,PWRPETESTXX01,30
GLOBAL,PWRHYDCANMB01,100
GLOBAL,PWRPETGEOXX01,30
GLOBAL,PWROCGVENXX01,30
GLOBAL,PWRWAVGABXX01,20
GLOBAL,PWRSPVAUSSW01,30
GLOBAL,PWRPETDJIXX01,30
GLOBAL,PWRCOAISLXX01,30
GLOBAL,PWROCGAUSWA00,30
GLOBAL,PWRWOFGBRXX01,30
GLOBAL,PWRPETTJKXX01,30
GLOBAL,PWRWONNAMXX01,30
GLOBAL,PWRCOAKGZXX01,30
GLOBAL,PWRGEONPLXX01,30
GLOBAL,PWRURNTKMXX01,60
GLOBAL,PWRCCGDZAXX00,30
GLOBAL,PWRCSPFJIXX01,30
GLOBAL,PWRWOFESTXX01,30
GLOBAL,PWRGEOROUXX01,30
GLOBAL,PWRCCGCANSK01,30
GLOBAL,PWRWOFMYSXX01,30
GLOBAL,PWRWASBRACW01,30
GLOBAL,PWRWASBHRXX01,30
GLOBAL,PWRHYDIRQXX01,100
GLOBAL,PWRGEOUSAAK01,30
GLOBAL,PWRCCGMARXX00,30
GLOBAL,PWRPETUSACA01,30
GLOBAL,PWRWONCHNJI01,30
GLOBAL,PWRCOGAUSWA01,30
GLOBAL,PWRCCGPOLXX00,30
GLOBAL,PWROCGBRAJ300,30
GLOBAL,PWRWAVGNQXX01,20
GLOBAL,PWROTHUGAXX01,30
GLOBAL,PWRHYDAZEXX01,100
GLOBAL,PWRWASZWEXX01,30
GLOBAL,PWRPETUSAER01,30
GLOBAL,PWRWONNZLXX01,30
GLOBAL,PWRBIOBLRXX01,45
GLOBAL,PWRCOATWNXX01,30
GLOBAL,PWRHYDNICXX01,100
GLOBAL,PWRCSPGRCXX01,30
GLOBAL,PWRCSPRUSFE01,30
GLOBAL,PWRWOFRUSMV01,30
GLOBAL,PWRWASNGAXX01,30
GLOBAL,PWRBIOCHNXI01,45
GLOBAL,PWRHYDTHAXX01,100
GLOBAL,PWRCCGBRAWE01,30
GLOBAL,PWROILNAMXX01,30
GLOBAL,PWRSPVCODXX01,30
GLOBAL,PWROCGLBNXX01,30
GLOBAL,PWRCCGCANAR01,30
GLOBAL,PWRCSPESTXX01,30
GLOBAL,PWRPETAZEXX01,30
GLOBAL,PWROTHCOLXX01,30
GLOBAL,PWRCCGURYXX00,30
GLOBAL,PWRBIORUSSI01,45
GLOBAL,PWRCSPCRIXX01,30
GLOBAL,PWRWONKOSXX01,30
GLOBAL,PWRCOGZWEXX01,30
GLOBAL,PWRCCGIRNXX00,30
GLOBAL,PWROILBGRXX01,30
GLOBAL,PWRWASLSOXX01,30
GLOBAL,PWROCGUSASS01,30
GLOBAL,PWRBIOJPNHO01,45
GLOBAL,PWRPETINDEA01,30
GLOBAL,PWROCGSVKXX00,30
GLOBAL,PWRCSPMARXX01,30
GLOBAL,PWRSPVDNKXX01,30
GLOBAL,PWRWASZMBXX01,30
GLOBAL,PWRWOFGUFXX01,30
GLOBAL,PWROILPANXX01,30
GLOBAL,PWRBIOCOGXX01,45
GLOBAL,PWRWASMYSXX01,30
GLOBAL,PWROTHBRNXX01,30
GLOBAL,PWRWAVUZBXX01,20
GLOBAL,PWRCOGRUSUR01,30
GLOBAL,PWRCOAMEXXX01,30
GLOBAL,PWRCSPSDNXX01,30
GLOBAL,PWRWOFPERXX01,30
GLOBAL,PWRBIOCHNZH01,45
GLOBAL,PWROTHBRAJ201,30
GLOBAL,PWRWOFCHNZH01,30
GLOBAL,PWRCOGBWAXX01,30
GLOBAL,PWRWAVHUNXX01,20
GLOBAL,PWRWAVLTUXX01,20
GLOBAL,PWRHYDUSAAK01,100
GLOBAL,PWROTHPAKXX01,30
GLOBAL,PWRURNYEMXX01,60
GLOBAL,PWRWASHTIXX01,30
GLOBAL,PWRWAVHTIXX01,20
GLOBAL,PWRURNCHNTI01,60
