REGION,TECHNOLOGY,VALUE
GLOBAL,PWRHYDAZEXX01,31.536
GLOBAL,PWROILAZEXX01,31.536
GLOBAL,PWRSPVAZEXX01,31.536
GLOBAL,PWROTHAZEXX01,31.536
GLOBAL,PWRCSPAZEXX01,31.536
GLOBAL,PWRBIOAZEXX01,31.536
GLOBAL,PWRCOAAZEXX01,31.536
GLOBAL,PWRURNAZEXX01,31.536
GLOBAL,PWRWONAZEXX01,31.536
GLOBAL,PWRWASAZEXX01,31.536
GLOBAL,PWRWOFAZEXX01,31.536
GLOBAL,PWRWAVAZEXX01,31.536
GLOBAL,PWRPETAZEXX01,31.536
GLOBAL,PWRGEOAZEXX01,31.536
GLOBAL,PWRCOGAZEXX01,31.536
GLOBAL,PWRCCGBDIXX00,31.536
GLOBAL,PWROCGBDIXX00,31.536
GLOBAL,PWRHYDBDIXX01,31.536
GLOBAL,PWROILBDIXX01,31.536
GLOBAL,PWRSPVBDIXX01,31.536
GLOBAL,PWROTHBDIXX01,31.536
GLOBAL,PWRCSPBDIXX01,31.536
GLOBAL,PWRBIOBDIXX01,31.536
GLOBAL,PWRCOABDIXX01,31.536
GLOBAL,PWRURNBDIXX01,31.536
GLOBAL,PWRWONBDIXX01,31.536
GLOBAL,PWRWASBDIXX01,31.536
GLOBAL,PWRWOFBDIXX01,31.536
GLOBAL,PWRWAVBDIXX01,31.536
GLOBAL,PWRPETBDIXX01,31.536
GLOBAL,PWRGEOBDIXX01,31.536
GLOBAL,PWRCOGBDIXX01,31.536
GLOBAL,PWRCCGBELXX00,31.536
GLOBAL,PWROCGBELXX00,31.536
GLOBAL,PWRHYDBELXX01,31.536
GLOBAL,PWROILBELXX01,31.536
GLOBAL,PWRSPVBELXX01,31.536
GLOBAL,PWROTHBELXX01,31.536
GLOBAL,PWRCSPBELXX01,31.536
GLOBAL,PWRBIOBELXX01,31.536
GLOBAL,PWRCOABELXX01,31.536
GLOBAL,PWRURNBELXX01,31.536
GLOBAL,PWRWONBELXX01,31.536
GLOBAL,PWRWASBELXX01,31.536
GLOBAL,PWRWOFBELXX01,31.536
GLOBAL,PWRWAVBELXX01,31.536
GLOBAL,PWRPETBELXX01,31.536
GLOBAL,PWRGEOBELXX01,31.536
GLOBAL,PWRCOGBELXX01,31.536
GLOBAL,PWRCCGBENXX00,31.536
GLOBAL,PWROCGBENXX00,31.536
GLOBAL,PWRHYDBENXX01,31.536
GLOBAL,PWROILBENXX01,31.536
GLOBAL,PWRSPVBENXX01,31.536
GLOBAL,PWROTHBENXX01,31.536
GLOBAL,PWRCSPBENXX01,31.536
GLOBAL,PWRBIOBENXX01,31.536
GLOBAL,PWRCOABENXX01,31.536
GLOBAL,PWRURNBENXX01,31.536
GLOBAL,PWRWONBENXX01,31.536
GLOBAL,PWRWASBENXX01,31.536
GLOBAL,PWRWOFBENXX01,31.536
GLOBAL,PWRWAVBENXX01,31.536
GLOBAL,PWRPETBENXX01,31.536
GLOBAL,PWRGEOBENXX01,31.536
GLOBAL,PWRCOGBENXX01,31.536
GLOBAL,PWRCCGBFAXX00,31.536
GLOBAL,PWROCGBFAXX00,31.536
GLOBAL,PWRHYDBFAXX01,31.536
GLOBAL,PWROILBFAXX01,31.536
GLOBAL,PWRSPVBFAXX01,31.536
GLOBAL,PWROTHBFAXX01,31.536
GLOBAL,PWRCSPBFAXX01,31.536
GLOBAL,PWRBIOBFAXX01,31.536
GLOBAL,PWRCOABFAXX01,31.536
GLOBAL,PWRURNBFAXX01,31.536
GLOBAL,PWRWONBFAXX01,31.536
GLOBAL,PWRWASBFAXX01,31.536
GLOBAL,PWRWOFBFAXX01,31.536
GLOBAL,PWRWAVBFAXX01,31.536
GLOBAL,PWRPETBFAXX01,31.536
GLOBAL,PWRGEOBFAXX01,31.536
GLOBAL,PWRCOGBFAXX01,31.536
GLOBAL,PWRCCGBGDXX00,31.536
GLOBAL,PWROCGBGDXX00,31.536
GLOBAL,PWRHYDBGDXX01,31.536
GLOBAL,PWROILBGDXX01,31.536
GLOBAL,PWRSPVBGDXX01,31.536
GLOBAL,PWROTHBGDXX01,31.536
GLOBAL,PWRCSPBGDXX01,31.536
GLOBAL,PWRBIOBGDXX01,31.536
GLOBAL,PWRCOABGDXX01,31.536
GLOBAL,PWRURNBGDXX01,31.536
GLOBAL,PWRWONBGDXX01,31.536
GLOBAL,PWRWASBGDXX01,31.536
GLOBAL,PWRWOFBGDXX01,31.536
GLOBAL,PWRWAVBGDXX01,31.536
GLOBAL,PWRPETBGDXX01,31.536
GLOBAL,PWRGEOBGDXX01,31.536
GLOBAL,PWRCOGBGDXX01,31.536
GLOBAL,PWRCCGBGRXX00,31.536
GLOBAL,PWROCGBGRXX00,31.536
GLOBAL,PWRHYDBGRXX01,31.536
GLOBAL,PWROILBGRXX01,31.536
GLOBAL,PWRSPVBGRXX01,31.536
GLOBAL,PWROTHBGRXX01,31.536
GLOBAL,PWRCSPBGRXX01,31.536
GLOBAL,PWRBIOBGRXX01,31.536
GLOBAL,PWRCOABGRXX01,31.536
GLOBAL,PWRURNBGRXX01,31.536
GLOBAL,PWRWONBGRXX01,31.536
GLOBAL,PWRWASBGRXX01,31.536
GLOBAL,PWRWOFBGRXX01,31.536
GLOBAL,PWRWAVBGRXX01,31.536
GLOBAL,PWRPETBGRXX01,31.536
GLOBAL,PWRGEOBGRXX01,31.536
GLOBAL,PWRCOGBGRXX01,31.536
GLOBAL,PWRCCGBHRXX00,31.536
GLOBAL,PWROCGBHRXX00,31.536
GLOBAL,PWRHYDBHRXX01,31.536
GLOBAL,PWROILBHRXX01,31.536
GLOBAL,PWRSPVBHRXX01,31.536
GLOBAL,PWROTHBHRXX01,31.536
GLOBAL,PWRCSPBHRXX01,31.536
GLOBAL,PWRBIOBHRXX01,31.536
GLOBAL,PWRCOABHRXX01,31.536
GLOBAL,PWRURNBHRXX01,31.536
GLOBAL,PWRWONBHRXX01,31.536
GLOBAL,PWRWASBHRXX01,31.536
GLOBAL,PWRWOFBHRXX01,31.536
GLOBAL,PWRWAVBHRXX01,31.536
GLOBAL,PWRPETBHRXX01,31.536
GLOBAL,PWRGEOBHRXX01,31.536
GLOBAL,PWRCOGBHRXX01,31.536
GLOBAL,PWRCCGBIHXX00,31.536
GLOBAL,PWROCGBIHXX00,31.536
GLOBAL,PWRHYDBIHXX01,31.536
GLOBAL,PWROILBIHXX01,31.536
GLOBAL,PWRSPVBIHXX01,31.536
GLOBAL,PWROTHBIHXX01,31.536
GLOBAL,PWRCSPBIHXX01,31.536
GLOBAL,PWRBIOBIHXX01,31.536
GLOBAL,PWRCOABIHXX01,31.536
GLOBAL,PWRURNBIHXX01,31.536
GLOBAL,PWRWONBIHXX01,31.536
GLOBAL,PWRWASBIHXX01,31.536
