NAME,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12
AUT_Hyd_Peggau795,27.0489121,50.43826551,53.03708255,41.15677606,34.63321491,45.98315057,53.03708255,48.26374512,50.06700593,53.03708255,53.03708255,39.77781191
AUT_Hyd_KWKhtai761,13.41838189,13.3653448,34.89840032,53.03708255,53.03708255,53.03708255,53.03708255,47.52122597,38.08062527,30.33721122,31.6101012,19.78283179
CAN_Hyd_RockyPond4283,63.12997347,61.80371353,66.10079576,80,80,80,60,60.42440318,65.46419098,79.20424403,80,69.70822281
CAN_Hyd_TorsCove4482,63.12997347,61.80371353,66.10079576,80,80,80,60,60.42440318,65.46419098,79.20424403,80,69.70822281
AUT_Hyd_KWImst758,13.41838189,13.3653448,34.89840032,53.03708255,53.03708255,53.03708255,53.03708255,47.52122597,38.08062527,30.33721122,31.6101012,19.78283179
CAN_Hyd_Hogg3874,22.46478304,27.42675247,50.40539661,80,80,55.24922391,42.84430034,42.96244247,54.36315794,80,80,29.84866612
AUT_Hyd_NussdorfnearV788,13.84267855,16.60060684,34.63321491,53.03708255,53.03708255,53.03708255,46.61959556,36.06521614,41.6341098,53.03708255,43.70255602,22.27557467
CHE_Hyd_Bannwil17704,25.51291623,29.77352252,43.11327793,50.72150345,50.72150345,50.72150345,50.72150345,34.28773633,33.22258476,45.09141656,41.28730381,40.12070923
AUT_Hyd_Gerlos751,24.18490964,25.19261421,53.03708255,53.03708255,39.67173775,50.65041384,53.03708255,53.03708255,43.80863019,36.33040155,40.36121982,30.28417414
AUT_Hyd_Funsingau748,24.18490964,25.19261421,53.03708255,53.03708255,39.67173775,50.65041384,53.03708255,53.03708255,43.80863019,36.33040155,40.36121982,30.28417414
CAN_Hyd_Andrews3462,22.46478304,27.42675247,50.40539661,80,80,55.24922391,42.84430034,42.96244247,54.36315794,80,80,29.84866612
CAN_Hyd_Gartshore3790,22.46478304,27.42675247,50.40539661,80,80,55.24922391,42.84430034,42.96244247,54.36315794,80,80,29.84866612
CHE_Hyd_Trempel17840,44.73636604,50.72150345,50.72150345,36.46876098,33.17186325,47.22171971,42.45389838,36.77309,35.55577392,38.49762112,50.72150345,50.72150345
CAN_Hyd_Mobile4091,63.12997347,61.80371353,66.10079576,80,80,80,60,60.42440318,65.46419098,79.20424403,80,69.70822281
CAN_Hyd_Morris4104,63.12997347,61.80371353,66.10079576,80,80,80,60,60.42440318,65.46419098,79.20424403,80,69.70822281
CHE_Hyd_Wynau17855,25.51291623,29.77352252,43.11327793,50.72150345,50.72150345,50.72150345,50.72150345,34.28773633,33.22258476,45.09141656,41.28730381,40.12070923
AUT_Hyd_Kaprunmainsta765,10.44500095,5.303708255,14.07414873,35.94984508,53.03708255,53.03708255,53.03708255,53.03708255,43.9642131,34.43770017,26.47373698,14.98143567
AUT_Hyd_Klammsee767,10.44500095,5.303708255,14.07414873,35.94984508,53.03708255,53.03708255,53.03708255,53.03708255,43.9642131,34.43770017,26.47373698,14.98143567
CHE_Hyd_Strick17834,36.57020398,41.49018982,44.22915101,42.20029087,50.72150345,50.72150345,50.72150345,42.6567844,45.09141656,46.30873265,49.96068089,50.72150345
CAN_Hyd_Sisson4366,38.37791511,34.65981324,59.44715908,80,80,63.11362065,57.48482753,59.44715908,59.13731725,80,80,44.67803218
CAN_Hyd_MacKay4017,22.46478304,27.42675247,50.40539661,80,80,55.24922391,42.84430034,42.96244247,54.36315794,80,80,29.84866612
AUT_Hyd_KWSilz762,13.41838189,13.3653448,34.89840032,53.03708255,53.03708255,53.03708255,53.03708255,47.52122597,38.08062527,30.33721122,31.6101012,19.78283179
CAN_Hyd_RaggedChute4240,22.46478304,27.52885834,64.8077741,80,80,49.73757411,45.52768019,48.21225022,52.36113119,80,80,33.26407615
MDA_Hyd_HydropowerPlan14432,54.61241391,70.20027715,80,80,68.42371921,80,80,56.90474674,66.53254462,55.12818879,62.80750377,72.09145174
USA_Hyd_PrairieRiver26943,5.257049775,13.0398035,44.40809749,52.57049775,52.57049775,52.00102796,52.57049775,45.30975799,34.252553,52.57049775,28.4154877,8.816235931
CAN_Hyd_PierresBrook4195,63.12997347,61.80371353,66.10079576,80,80,80,60,60.42440318,65.46419098,79.20424403,80,69.70822281
AUT_Hyd_Laufnitzdorf774,27.0489121,50.43826551,53.03708255,41.15677606,34.63321491,45.98315057,53.03708255,48.26374512,50.06700593,53.03708255,53.03708255,39.77781191
CAN_Hyd_HoundChute3881,22.46478304,27.52885834,64.8077741,80,80,49.73757411,45.52768019,48.21225022,52.36113119,80,80,33.26407615
AUT_Hyd_Schwarzach806,14.74430895,8.379859043,22.59379717,53.03708255,53.03708255,53.03708255,53.03708255,43.91470435,36.75469821,30.76150788,30.28417414,21.48001843
AUT_Hyd_WallnerauSalza824,14.74430895,8.379859043,22.59379717,53.03708255,53.03708255,53.03708255,53.03708255,43.91470435,36.75469821,30.76150788,30.28417414,21.48001843
AUT_Hyd_St_Veit812,14.74430895,8.379859043,22.59379717,53.03708255,53.03708255,53.03708255,53.03708255,43.91470435,36.75469821,30.76150788,30.28417414,21.48001843
FRA_Hyd_SoulceCernay10623,41.33669481,42.57126139,42.57126139,33.97186659,21.62620078,19.92335033,13.40994734,8.982536153,22.30734097,32.90758505,42.57126139,42.57126139
